Step,agent_generation,avg_distance_between_agents,avg_knowledge_on_grid,avgcurrentAgentKnowledge,best_knowledge,constant_population,epsilon,error_imbalance,explored_percentage,explored_weighted_by_initial_knowledge,generation_params,harvest,initial_curiosity,mean_age,mean_prestige,number_agents,number_connection,size,step_limit,steps,stored_percentage,totalInitialKnowledge,total_initial_knowledge,use_distance
400.0,0,10.18421052631579,0.3509128835681425,0.3139418464702728,0.9585550329574659,0,0.1,5,0.9825,0.9770665174094968,"{'seed': 21, 'initCellFunc': 'randominit'}",0.02,0.0,439.0,151.19437455645186,20,2,20,400,400,"[('explored_percentage', [[0.5, 43], [0.9, 150]]), ('explored_weighted_by_initial_knowledge', [[0.5, 42], [0.9, 153]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",202.0771430421354,202.0771430421354,0
400.0,0,9.878947368421054,0.34071893996337904,0.35054287321824956,0.9401657261004783,0,0.1,5,1.0,1.0000000000000002,"{'seed': 22, 'initCellFunc': 'randominit'}",0.02,0.0,433.8,160.60764981080112,20,2,20,400,400,"[('explored_percentage', [[0.5, 44], [0.9, 159]]), ('explored_weighted_by_initial_knowledge', [[0.5, 44], [0.9, 159]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",201.84171876527046,201.84171876527046,0
400.0,0,10.089473684210528,0.3255514836871813,0.34454940120537214,0.8730442306098677,0,0.1,5,0.9975,0.9988591916845013,"{'seed': 23, 'initCellFunc': 'randominit'}",0.02,0.0,434.45,147.55438179769789,20,2,20,400,400,"[('explored_percentage', [[0.5, 44], [0.9, 175]]), ('explored_weighted_by_initial_knowledge', [[0.5, 44], [0.9, 171]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",190.44687175964717,190.44687175964717,0
400.0,0,10.35263157894737,0.3463206103625754,0.3416347856651371,0.8943654629177129,0,0.1,5,0.9925,0.9917634092100738,"{'seed': 24, 'initCellFunc': 'randominit'}",0.02,0.0,437.95,150.64028443162007,20,2,20,400,400,"[('explored_percentage', [[0.5, 45], [0.9, 195]]), ('explored_weighted_by_initial_knowledge', [[0.5, 44], [0.9, 206]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",200.01407452528332,200.01407452528332,0
400.0,0,8.663157894736843,0.3287537393128822,0.1645398443860817,0.8928059854078297,0,0.1,5,0.9975,0.996789928009914,"{'seed': 25, 'initCellFunc': 'randominit'}",0.02,0.0,438.5,148.9453314948496,20,2,20,400,400,"[('explored_percentage', [[0.5, 44], [0.9, 173]]), ('explored_weighted_by_initial_knowledge', [[0.5, 46], [0.9, 173]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",192.29550858019363,192.29550858019363,0
400.0,0,10.136842105263158,0.3504167492022322,0.3042574519688509,0.9399390659030789,0,0.1,5,0.9925,0.9952265351077718,"{'seed': 26, 'initCellFunc': 'randominit'}",0.02,0.0,435.45,154.43276077657407,20,2,20,400,400,"[('explored_percentage', [[0.5, 44], [0.9, 177]]), ('explored_weighted_by_initial_knowledge', [[0.5, 43], [0.9, 176]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",203.20047958969852,203.20047958969852,0
400.0,0,10.021052631578947,0.32130023084241727,0.3396164479458096,0.8793455176397911,0,0.1,5,0.995,0.998552991181504,"{'seed': 27, 'initCellFunc': 'randominit'}",0.02,0.0,438.55,148.17059684332918,20,2,20,400,400,"[('explored_percentage', [[0.5, 42], [0.9, 186]]), ('explored_weighted_by_initial_knowledge', [[0.5, 43], [0.9, 189]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",188.99788696689717,188.99788696689717,0
400.0,0,9.88421052631579,0.33591083015822465,0.31912700317914566,0.9650090731116103,0,0.1,5,0.9875,0.9897771179055834,"{'seed': 28, 'initCellFunc': 'randominit'}",0.02,0.0,435.2,158.5718402773045,20,2,20,400,400,"[('explored_percentage', [[0.5, 39], [0.9, 164]]), ('explored_weighted_by_initial_knowledge', [[0.5, 37], [0.9, 147]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",199.08753217647532,199.08753217647532,0
400.0,0,10.321052631578947,0.33168249510604175,0.3298945155294121,0.9401770139240789,0,0.1,5,0.9975,0.9952065704237881,"{'seed': 29, 'initCellFunc': 'randominit'}",0.02,0.0,439.6,144.18351343061323,20,2,20,400,400,"[('explored_percentage', [[0.5, 47], [0.9, 158]]), ('explored_weighted_by_initial_knowledge', [[0.5, 46], [0.9, 157]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",191.52341168756482,191.52341168756482,0
400.0,0,10.063157894736843,0.33462282387332354,0.3157985270525842,0.932478921720114,0,0.1,5,0.9925,0.995751857946426,"{'seed': 30, 'initCellFunc': 'randominit'}",0.02,0.0,434.55,154.0522841136353,20,2,20,400,400,"[('explored_percentage', [[0.5, 40], [0.9, 163]]), ('explored_weighted_by_initial_knowledge', [[0.5, 41], [0.9, 161]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",196.72761286101752,196.72761286101752,0
