Step,agent_generation,avg_distance_between_agents,avg_knowledge_on_grid,avgcurrentAgentKnowledge,best_knowledge,constant_population,epsilon,error_imbalance,explored_50_step,explored_90_step,explored_percentage,explored_weighted_by_initial_knowledge,generation_params,harvest,harvested_50_step,harvested_90_step,initial_curiosity,mean_age,mean_prestige,number_agents,number_connection,percentage_knowledge_harvested,size,step_limit,steps,total_initial_knowledge,use_distance,weighted_50_step,weighted_90_step
400.0,0,9.889473684210527,0.40058493128934175,0.5840446832018926,1.5117359486421447,0,0.1,5,43,140,0.995,0.9987137477360087,"{'prop_random': 5, 'seed': 0, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,109,261,0.1,436.45,228.9660413343769,20,2,0.3683854760481943,20,400,400,253.68949959099277,0,37,136
400.0,0,10.031578947368422,0.402521305422157,0.5123031325771467,1.797336264630749,0,0.1,5,44,163,0.995,0.9961386562117841,"{'prop_random': 5, 'seed': 1, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,86,257,0.1,434.65,221.96910856422556,20,2,0.3600822674212657,20,400,400,251.60815831752657,0,31,149
400.0,0,10.094736842105261,0.41011828079331364,0.4878243365613512,1.759245658561958,0,0.1,5,43,120,0.9975,0.9991865723264403,"{'prop_random': 5, 'seed': 2, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,104,276,0.1,436.95,218.73467472375359,20,2,0.35242804612265605,20,400,400,253.32677138824565,0,53,117
400.0,0,10.015789473684212,0.3944348594366667,0.3870371012512923,1.1725465977708311,0,0.1,5,41,179,0.98,0.9915702825524001,"{'prop_random': 5, 'seed': 3, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,94,246,0.1,437.9,220.11407349514343,20,2,0.36282924201473915,20,400,400,247.61642275227626,0,31,171
400.0,0,9.973684210526315,0.3906650066635858,0.4391598994999188,1.299536395190929,0,0.1,5,44,160,0.9925,0.9948453155110348,"{'prop_random': 5, 'seed': 4, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,87,239,0.1,435.3,238.03258099714648,20,2,0.38337671894558745,20,400,400,253.42215817447374,0,36,137
400.0,0,9.352631578947367,0.3961805759435527,0.3817827242976712,1.628674670138475,0,0.1,5,45,154,1.0,0.9999999999999998,"{'prop_random': 5, 'seed': 5, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,97,270,0.1,439.85,216.87651511468735,20,2,0.35839450707598464,20,400,400,246.99325695484464,0,43,143
400.0,0,9.278947368421052,0.3832390656544035,0.3103776078019066,1.6526438926765195,0,0.1,5,39,153,1.0,0.9999999999999997,"{'prop_random': 5, 'seed': 6, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,105,243,0.1,439.35,213.17146150103736,20,2,0.3620772854945064,20,400,400,240.3043860581034,0,43,147
400.0,0,10.23157894736842,0.3897423471736877,0.4363427436240723,1.3365837801478433,0,0.1,5,43,210,0.985,0.9920423909783406,"{'prop_random': 5, 'seed': 7, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,88,255,0.1,435.75,221.97211846249806,20,2,0.36755242186533815,20,400,400,246.4978035480456,0,32,150
400.0,0,10.289473684210524,0.39520179036561087,0.37563972645461935,1.4693788360299107,0,0.1,5,43,243,0.99,0.9943648975226013,"{'prop_random': 5, 'seed': 8, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,83,232,0.1,437.05,223.85945516353507,20,2,0.36628784149568344,20,400,400,249.45192233544242,0,33,219
400.0,0,10.163157894736843,0.40229588212479356,0.48619473522102064,1.2910862946362864,0,0.1,5,39,162,0.995,0.9970439267804496,"{'prop_random': 5, 'seed': 9, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,85,254,0.1,434.85,229.7976855950513,20,2,0.36823740233068497,20,400,400,254.71332656218325,0,32,147
400.0,0,10.257894736842106,0.4093563758720377,0.3814609120613941,1.5956207066788006,0,0.1,5,47,167,0.99,0.9942711704437748,"{'prop_random': 5, 'seed': 10, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,94,253,0.1,437.35,228.63977037609348,20,2,0.36303032121847256,20,400,400,257.0649056043635,0,41,154
400.0,0,10.078947368421051,0.4095348940071766,0.3540611332132412,1.547385025620221,0,0.1,5,46,146,0.9925,0.9944996030137006,"{'prop_random': 5, 'seed': 11, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,89,259,0.1,435.95,215.60056458126192,20,2,0.3494649412918876,20,400,400,251.81418804420204,0,34,133
400.0,0,10.105263157894736,0.3866811691697592,0.34527742757435953,1.264445882057017,0,0.1,5,44,144,0.99,0.9943761927484459,"{'prop_random': 5, 'seed': 12, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,111,264,0.1,437.2,229.76110366523395,20,2,0.37745661060054275,20,400,400,248.45250998024414,0,54,143
400.0,0,10.268421052631581,0.39368529786950107,0.47355070776480834,1.5739488941256443,0,0.1,5,43,202,0.99,0.9968982739221284,"{'prop_random': 5, 'seed': 13, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,90,263,0.1,438.85,211.1933392520561,20,2,0.3537547652080977,20,400,400,243.67548210782354,0,36,195
400.0,0,10.126315789473685,0.38222975931569364,0.4791340262534643,1.4283897491784057,0,0.1,5,46,184,1.0,1.0000000000000004,"{'prop_random': 5, 'seed': 14, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,89,253,0.1,436.05,218.66098548705537,20,2,0.3685839101162833,20,400,400,242.14128555772857,0,38,173
400.0,0,10.16842105263158,0.3957871763691418,0.4041828055778714,1.6552122634854243,0,0.1,5,49,157,0.99,0.9947619040162995,"{'prop_random': 5, 'seed': 15, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,103,263,0.1,438.2,212.80730810465298,20,2,0.35427807511442855,20,400,400,245.17499630465812,0,45,149
400.0,0,9.757894736842106,0.39339281312101265,0.4268510914658526,1.5450461661645034,0,0.1,5,42,169,0.995,0.9960024969940098,"{'prop_random': 5, 'seed': 16, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,79,230,0.1,436.45,237.08252478474742,20,2,0.38078971386431226,20,400,400,254.12550271156726,0,29,159
400.0,0,10.04736842105263,0.3990679066124674,0.42420608758535705,1.7068666832520452,0,0.1,5,41,172,0.9875,0.9883046557970168,"{'prop_random': 5, 'seed': 17, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,98,250,0.1,440.4,217.33617526155095,20,2,0.3572124557165524,20,400,400,248.33580560888524,0,36,152
400.0,0,9.984210526315788,0.4007839687265836,0.4460073094013479,2.1458177150253714,0,0.1,5,39,124,0.9975,0.9985008773604123,"{'prop_random': 5, 'seed': 18, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,97,262,0.1,435.7,222.42772278219704,20,2,0.36155585926272027,20,400,400,251.10041311602012,0,31,120
400.0,0,9.821052631578947,0.3833987814151813,0.4223214739435023,1.3748391839822534,0,0.1,5,47,179,1.0,0.9999999999999992,"{'prop_random': 5, 'seed': 19, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,98,243,0.1,435.4,228.00568304798702,20,2,0.37765761597085123,20,400,400,246.42305666729197,0,49,171
