Step,agent_generation,avg_distance_between_agents,avg_knowledge_on_grid,avgcurrentAgentKnowledge,best_knowledge,constant_population,epsilon,error_imbalance,explored_percentage,explored_weighted_by_initial_knowledge,generation_params,harvest,initial_curiosity,mean_age,mean_prestige,number_agents,number_connection,size,step_limit,steps,stored_percentage,totalInitialKnowledge,total_initial_knowledge,use_distance
400.0,0,9.878947368421054,0.33968434201094355,0.33851457069590213,0.866076069684563,0,0.1,5,1.0,1.0000000000000002,"{'seed': 22, 'initCellFunc': 'randominit'}",0.02,0.0,433.8,156.50755743480002,20,2,20,400,400,"[('explored_percentage', [[0.5, 44], [0.9, 159]]), ('explored_weighted_by_initial_knowledge', [[0.5, 44], [0.9, 169]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",199.75437249205092,199.75437249205092,0
400.0,0,10.089473684210528,0.34728917715326957,0.3238835447312996,0.8761180707874977,0,0.1,5,0.9975,0.9974926092418545,"{'seed': 23, 'initCellFunc': 'randominit'}",0.02,0.0,434.45,157.2645674141765,20,2,20,400,400,"[('explored_percentage', [[0.5, 44], [0.9, 175]]), ('explored_weighted_by_initial_knowledge', [[0.5, 44], [0.9, 174]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",203.10529021403292,203.10529021403292,0
400.0,0,10.35263157894737,0.35183162239280463,0.35225763079290684,0.902234120545319,0,0.1,5,0.9925,0.9940482199260041,"{'seed': 24, 'initCellFunc': 'randominit'}",0.02,0.0,437.95,148.2923544791093,20,2,20,400,400,"[('explored_percentage', [[0.5, 45], [0.9, 195]]), ('explored_weighted_by_initial_knowledge', [[0.5, 44], [0.9, 199]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",201.260140581248,201.260140581248,0
400.0,0,8.663157894736843,0.35370407675710575,0.41784005231590304,0.9950464561013382,0,0.1,5,0.9975,0.9952261045974867,"{'seed': 25, 'initCellFunc': 'randominit'}",0.02,0.0,438.5,164.0355330099177,20,2,20,400,400,"[('explored_percentage', [[0.5, 44], [0.9, 173]]), ('explored_weighted_by_initial_knowledge', [[0.5, 40], [0.9, 171]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",208.43490948240057,208.43490948240057,0
400.0,0,10.136842105263158,0.34322220259443226,0.2897932081989479,0.9567607690958032,0,0.1,5,0.9925,0.9909918154870834,"{'seed': 26, 'initCellFunc': 'randominit'}",0.02,0.0,435.45,153.99558602118321,20,2,20,400,400,"[('explored_percentage', [[0.5, 44], [0.9, 177]]), ('explored_weighted_by_initial_knowledge', [[0.5, 44], [0.9, 174]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",200.14422227090898,200.14422227090898,0
400.0,0,10.021052631578947,0.35219982876215056,0.3149777376421836,0.8927635647249179,0,0.1,5,0.995,0.9952420423881726,"{'seed': 27, 'initCellFunc': 'randominit'}",0.02,0.0,438.55,157.94369005651308,20,2,20,400,400,"[('explored_percentage', [[0.5, 42], [0.9, 186]]), ('explored_weighted_by_initial_knowledge', [[0.5, 42], [0.9, 177]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",205.34674377282477,205.34674377282477,0
400.0,0,9.88421052631579,0.35407916453221466,0.19652700960630756,0.9784625993687841,0,0.1,5,0.9875,0.9846633563852959,"{'seed': 28, 'initCellFunc': 'randominit'}",0.02,0.0,435.2,158.60262334849534,20,2,20,400,400,"[('explored_percentage', [[0.5, 39], [0.9, 164]]), ('explored_weighted_by_initial_knowledge', [[0.5, 40], [0.9, 175]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",206.36743044492485,206.36743044492485,0
400.0,0,10.321052631578947,0.3482091302043982,0.3635346587276021,0.948560839753916,0,0.1,5,0.9975,0.9977146959763072,"{'seed': 29, 'initCellFunc': 'randominit'}",0.02,0.0,439.6,157.12133229863556,20,2,20,400,400,"[('explored_percentage', [[0.5, 47], [0.9, 158]]), ('explored_weighted_by_initial_knowledge', [[0.5, 46], [0.9, 157]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",203.41480812201877,203.41480812201877,0
400.0,0,10.063157894736843,0.3485011421340091,0.27728557141754073,0.9753741465989437,0,0.1,5,0.9925,0.9871733191730929,"{'seed': 30, 'initCellFunc': 'randominit'}",0.02,0.0,434.55,154.40590973548063,20,2,20,400,400,"[('explored_percentage', [[0.5, 40], [0.9, 163]]), ('explored_weighted_by_initial_knowledge', [[0.5, 40], [0.9, 165]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",202.42327715379994,202.42327715379994,0
400.0,0,10.03157894736842,0.3569204250633506,0.2727092376983656,0.9902425854114988,0,0.1,5,0.99,0.9862742761410239,"{'seed': 31, 'initCellFunc': 'randominit'}",0.02,0.0,434.95,155.3590095283003,20,2,20,400,400,"[('explored_percentage', [[0.5, 51], [0.9, 179]]), ('explored_weighted_by_initial_knowledge', [[0.5, 53], [0.9, 182]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",206.1800106491362,206.1800106491362,0
400.0,0,10.178947368421053,0.3506732036293369,0.4156894978984245,0.8940764868465203,0,0.1,5,1.0,0.9999999999999988,"{'seed': 32, 'initCellFunc': 'randominit'}",0.02,0.0,434.4,162.00678097589739,20,2,20,400,400,"[('explored_percentage', [[0.5, 43], [0.9, 177]]), ('explored_weighted_by_initial_knowledge', [[0.5, 42], [0.9, 177]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",206.39449817659116,206.39449817659116,0
400.0,0,10.263157894736842,0.3549902801498883,0.3370999989207729,0.9445032812669466,0,0.1,5,1.0,1.0000000000000004,"{'seed': 33, 'initCellFunc': 'randominit'}",0.02,0.0,438.75,157.36119274858956,20,2,20,400,400,"[('explored_percentage', [[0.5, 47], [0.9, 168]]), ('explored_weighted_by_initial_knowledge', [[0.5, 47], [0.9, 168]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",206.2251703246857,206.2251703246857,0
400.0,0,10.142105263157896,0.33712263113204277,0.2739464515221849,0.9169018193089358,0,0.1,5,1.0,0.999999999999999,"{'seed': 34, 'initCellFunc': 'randominit'}",0.02,0.0,434.45,148.64932107244198,20,2,20,400,400,"[('explored_percentage', [[0.5, 45], [0.9, 187]]), ('explored_weighted_by_initial_knowledge', [[0.5, 44], [0.9, 190]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",195.5222447272835,195.5222447272835,0
400.0,0,10.094736842105263,0.35483263891076783,0.3454408768873896,0.8828371841908218,0,0.1,5,0.995,0.9960946359253401,"{'seed': 35, 'initCellFunc': 'randominit'}",0.02,0.0,435.9,166.32013391772676,20,2,20,400,400,"[('explored_percentage', [[0.5, 41], [0.9, 186]]), ('explored_weighted_by_initial_knowledge', [[0.5, 41], [0.9, 181]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",209.81882451031814,209.81882451031814,0
400.0,0,9.626315789473685,0.3495380379169953,0.307813579768873,0.9289934548474391,0,0.1,5,0.99,0.9892178983805219,"{'seed': 36, 'initCellFunc': 'randominit'}",0.02,0.0,436.4,156.5208969067649,20,2,20,400,400,"[('explored_percentage', [[0.5, 50], [0.9, 179]]), ('explored_weighted_by_initial_knowledge', [[0.5, 50], [0.9, 191]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",203.70129553690614,203.70129553690614,0
400.0,0,10.147368421052631,0.34268732643423094,0.30126083915617874,0.9701045184184804,0,0.1,5,0.995,0.9910820215417692,"{'seed': 37, 'initCellFunc': 'randominit'}",0.02,0.0,437.65,147.93647433146168,20,2,20,400,400,"[('explored_percentage', [[0.5, 54], [0.9, 198]]), ('explored_weighted_by_initial_knowledge', [[0.5, 57], [0.9, 213]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",197.4571649946971,197.4571649946971,0
400.0,0,9.963157894736842,0.34595465120110064,0.21504435228519508,0.9574937573394925,0,0.1,5,0.985,0.9802971713573783,"{'seed': 38, 'initCellFunc': 'randominit'}",0.02,0.0,435.45,150.76293021669292,20,2,20,400,400,"[('explored_percentage', [[0.5, 45], [0.9, 194]]), ('explored_weighted_by_initial_knowledge', [[0.5, 42], [0.9, 185]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",199.91775036480456,199.91775036480456,0
400.0,0,10.30526315789474,0.3392447757262345,0.3560998508608938,0.9341130173644173,0,0.1,5,0.9875,0.9879924566429913,"{'seed': 39, 'initCellFunc': 'randominit'}",0.02,0.0,437.2,158.21939767830992,20,2,20,400,400,"[('explored_percentage', [[0.5, 44], [0.9, 163]]), ('explored_weighted_by_initial_knowledge', [[0.5, 46], [0.9, 167]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",200.27725628164083,200.27725628164083,0
